names,scores,logfoldchanges,pvals,pvals_adj
MAPK8,30.183117,-7.4514966,3.9455896858581214e-200,7.984566109843062e-200
PHF19,30.114983,-8.044114,3.0846150763084333e-199,6.205519741749907e-199
INPP4A,29.910582,-8.201493,1.4334582084141956e-196,2.8669164168283913e-196
TSC1,29.774315,-7.7110953,8.40308161422033e-195,1.6516401793467545e-194
IGFBP2,29.774315,-13.92793,8.40308161422033e-195,1.6516401793467545e-194
BMI1,29.774315,-7.537991,8.40308161422033e-195,1.6516401793467545e-194
TP53,29.638048,-7.9950595,4.835449969572059e-193,9.39615846360025e-193
SPARC,29.638048,-11.229463,4.835449969572059e-193,9.39615846360025e-193
PTGDS,29.229248,-13.200967,8.243303042682987e-188,1.5838256407851582e-187
CDKN2A,29.092981,-8.855365,4.404326276027694e-186,8.368219924452618e-186
TIA1,29.092981,-7.3723187,4.404326276027694e-186,8.368219924452618e-186
SUCLA2,28.752314,-7.856235,8.473941082420643e-182,1.5836545629441858e-181
IL6,28.47978,-7.6604366,2.085472704778811e-178,3.876259049099747e-178
TBPL1,28.343513,-6.187865,1.0061955671777404e-176,1.86010207553939e-176
CASP3,28.207247,-7.437156,4.7654726850178725e-175,8.762320743419959e-175
UBQLN2,27.86658,-7.1660275,6.783096497798712e-171,1.2405449209877858e-170
PCNA,27.798445,-7.1516857,4.529516807194981e-170,8.239865681173849e-170
AK3,27.730312,-7.973618,3.0106639143925215e-169,5.390822296975091e-169
CYP27A1,27.730312,-6.851176,3.0106639143925215e-169,5.390822296975091e-169
RARS2,27.594046,-7.10075,1.3117246993345172e-167,2.336509620689609e-167
ATXN3,27.048977,-6.268883,3.92670082437972e-161,6.886829138142893e-161
PTDSS1,27.048977,-7.860264,3.92670082437972e-161,6.886829138142893e-161
CDKN1B,26.980844,-5.782254,2.4802234467543818e-160,4.3277368305612174e-160
IKBKB,26.91271,-7.3354897,1.559338794006569e-159,2.707075469798206e-159
XAB2,26.435776,-7.445031,5.3176091323770104e-154,9.138805644587626e-154
ATP13A2,26.29951,-8.123557,1.9426316315641137e-152,3.2890099900738954e-152
CUL2,26.29951,-6.9142,1.9426316315641137e-152,3.2890099900738954e-152
CX3CR1,26.29951,-9.101503,1.9426316315641137e-152,3.2890099900738954e-152
REST,25.822577,-7.1851597,4.9469248654512074e-147,8.293374039138789e-147
CAMK2D,25.618176,-8.734988,9.571333694668635e-145,1.5967785968666695e-144
CXXC1,25.345642,-6.036746,1.0037827692978465e-141,1.6664743063100168e-141
CREB1,25.209375,-7.34997,3.161517304593388e-140,5.223376416284728e-140
TPM1,25.073109,-8.964788,9.774615720420821e-139,1.60717239249227e-138
DLD,24.93684,-7.313557,2.966554012001069e-137,4.854361110547203e-137
TMEM106B,24.800573,-8.505106,8.837987915783725e-136,1.4393294605704924e-135
OPA1,24.664307,-8.976877,2.584659055995156e-134,4.1695914959921854e-134
STXBP3,24.664307,-6.885495,2.584659055995156e-134,4.1695914959921854e-134
ENO2,24.596174,-9.394969,1.388062450792095e-133,2.2287199914126595e-133
IL10,24.52804,-8.909945,7.419967134179608e-133,1.1858078317240308e-132
TCERG1,24.187372,-7.495684,3.021175758075034e-129,4.8057772523798215e-129
PRKCA,23.369772,-8.481769,8.67655617958962e-121,1.3549690472235844e-120
ADNP,23.301638,-8.974262,4.2669131934045606e-120,6.63311050974709e-120
GTF2H1,22.892838,-6.6471686,5.475866126592547e-116,8.473964775088918e-116
SF3A2,22.824703,-7.228268,2.60695142565238e-115,4.0161143584374497e-115
ATP6V0E2,22.688437,-8.229164,5.827153688902204e-114,8.936711038585444e-114
FLT1,22.55217,-9.940182,1.278589764812018e-112,1.9434564425142672e-112
RNF216,22.55217,-8.061804,1.278589764812018e-112,1.9434564425142672e-112
ADRB2,22.279636,-8.678063,5.822843580325488e-110,8.811559754297862e-110
PTPRN2,22.007103,-9.522714,2.4623294806375462e-107,3.677365425231619e-107
TNF,22.007103,-7.405443,2.4623294806375462e-107,3.677365425231619e-107
MTA1,21.938969,-8.462107,1.103745573286287e-106,1.6412216785387396e-106
PINK1,21.666435,-7.335787,4.254427938981757e-104,6.298763442128834e-104
PRKRA,21.530169,-7.1958876,8.123743599105098e-103,1.1924121505982589e-102
HTT,21.530169,-7.247676,8.123743599105098e-103,1.1924121505982589e-102
PANK2,21.325768,-7.6619115,6.54697269544851e-101,9.56865240104013e-101
OTUD4,21.1895,-8.327431,1.193543468754567e-99,1.7296265521782284e-99
SIRT7,21.121368,-7.6263943,5.06080528556291e-99,7.272249612027374e-99
GALC,20.985102,-8.543877,8.973205394131473e-98,1.284031901587014e-97
ERLEC1,20.712566,-6.724226,2.6684876690828573e-95,3.802594928443072e-95
GNG2,20.508167,-7.6918306,1.8202592731342545e-93,2.58310652038139e-93
GNPTAB,20.303766,-7.071274,1.1909656588760126e-91,1.6761738902699438e-91
POLR2B,20.235634,-8.226751,4.7547975759222953e-91,6.664511356415676e-91
PTK2B,19.826832,-9.226653,1.7470061590153004e-87,2.428764660094442e-87
CCL2,19.826832,-8.139333,1.7470061590153004e-87,2.428764660094442e-87
NAGLU,19.281765,-9.454561,7.642383245282234e-83,1.0581761416544632e-82
NMB,19.145498,-8.847833,1.055247613762678e-81,1.4493762405897023e-81
SNRPA,18.736698,-8.757187,2.485859558697694e-78,3.387107446512396e-78
CLN3,18.736698,-7.632733,2.485859558697694e-78,3.387107446512396e-78
NF1,18.39603,-7.106585,1.4134860636631089e-75,1.9183025149713622e-75
CNP,18.19163,-9.11274,6.012534877285887e-74,8.12761631633112e-74
SNCA,18.123497,-7.3355575,2.0795023259747376e-73,2.7999598247376386e-73
ATM,18.055363,-7.0813723,7.158980404626496e-73,9.601456072087301e-73
ZNF24,17.919096,-6.787003,8.36767422757608e-72,1.1178689788402419e-71
PRKACB,17.646563,-9.890707,1.0814177263608636e-69,1.439085067764262e-69
ATG5,17.578428,-6.798941,3.6042612189576496e-69,4.777741615827582e-69
MYC,17.237762,-9.267626,1.382885201781864e-66,1.8120564713003735e-66
TRADD,17.237762,-6.5565953,1.382885201781864e-66,1.8120564713003735e-66
RCAN1,16.965227,-12.076674,1.4852250096231349e-64,1.93872882935539e-64
TAZ,16.760828,-9.348329,4.7200871516949287e-63,6.114658355604795e-63
PPP3CA,16.42016,-8.344728,1.3720383991061506e-60,1.7640493702793363e-60
POLR2H,16.352026,-7.229239,4.2074893759605716e-60,5.389368414151743e-60
TBK1,15.738826,-6.8416076,8.195023254048748e-56,1.0457828182405491e-55
TARDBP,15.534426,-7.2886195,2.0288226750770803e-54,2.5793953712875888e-54
TSPAN13,14.23989,-11.253714,5.1808518050349946e-46,6.4666106471604675e-46
TWISTNB,13.967357,-10.096867,2.466123998186501e-44,3.0669614813810305e-44
ACTN1,13.899222,-7.94816,6.403287705018453e-44,7.934508677957648e-44
RING1,13.558556,-8.029971,7.051091890849656e-42,8.674364844138785e-42
U2AF2,13.490422,-9.549989,1.7807801703562804e-41,2.1828918217270534e-41
EIF2S1,13.217888,-7.5574274,6.917891329321595e-40,8.41963998088251e-40
TGFBR2,13.217888,-7.5021667,6.917891329321595e-40,8.41963998088251e-40
MDM2,12.740954,-8.948551,3.5008646569223076e-37,4.2158299741810886e-37
CHMP2B,12.536554,-7.865081,4.7103719170241223e-36,5.6524463004289465e-36
EGLN1,12.195887,-10.891032,3.2692592176511026e-34,3.895772308141732e-34
SMARCB1,12.127753,-8.563581,7.528674939098763e-34,8.909366190905802e-34
BNIP3,12.05962,-12.029373,1.7257776733253944e-33,2.0352274630251203e-33
PARP1,11.85522,-8.436498,2.0219381009934234e-32,2.3681603785607906e-32
RAD23B,11.718952,-9.207843,1.0192438753587323e-31,1.1896976292583155e-31
PRPF31,11.378285,-8.495798,5.3644067689315675e-30,6.240228282226517e-30
CLU,11.310152,-14.201124,1.1688700512149774e-29,1.3550968051373637e-29
ELAVL1,11.242019,-8.341248,2.535185600963849e-29,2.9291671470595824e-29
TOMM40,10.969484,-8.736621,5.357687877066707e-28,6.148755885761121e-28
CCS,10.015616,-9.846786,1.3014801401945112e-23,1.4886495249047586e-23
CKB,9.606815,-12.6098175,7.482724400439763e-22,8.50196593006777e-22
EGR2,9.129882,-9.568992,6.857422120344402e-20,7.765689950853595e-20
KRAS,8.925481,-7.4779506,4.437653089487586e-19,5.008836160411731e-19
POLR2K,7.6990795,-8.270973,1.3705010397493653e-14,1.5367585429320752e-14
CLN8,7.494679,-8.128778,6.646083008063536e-14,7.403779767940487e-14
ATF6,7.494679,-9.183857,6.646083008063536e-14,7.403779767940487e-14
LSM2,7.2902784,-8.981528,3.0931465702005545e-13,3.4345978149629536e-13
SRSF4,7.222145,-9.141795,5.117379435566539e-13,5.663895685966849e-13
ADAM10,7.017745,-7.8347816,2.254778110478248e-12,2.487529399301809e-12
HPCAL1,6.881478,-7.829197,5.923474159648442e-12,6.493038982691561e-12
IL18,6.677078,-8.888301,2.4375386306929344e-11,2.6464705133237575e-11
MEAF6,6.2001433,-7.527182,5.641169982621896e-10,6.086057205226146e-10
CD40,6.2001433,-7.9079857,5.641169982621896e-10,6.086057205226146e-10
GAK,6.13201,-8.555558,8.677561448298115e-10,9.303216348959108e-10
CERS2,5.92761,-8.011916,3.0737595809858915e-09,3.285080552178672e-09
MGMT,5.4506755,-9.830918,5.017882565762291e-08,5.3461552569803843e-08
S100B,5.314409,-12.248782,1.0700420338848353e-07,1.1365042720143281e-07
GUSB,5.2462754,-8.621001,1.5520495460899894e-07,1.633233676193158e-07
APP,5.2462754,-8.927666,1.5520495460899894e-07,1.633233676193158e-07
BCL2,2.8616047,-10.23444,0.004215022648690747,0.004421894925927102
CELF1,2.7934713,-9.566648,0.00521456640768351,0.005453766701613946
HPGDS,2.7253377,-10.865423,0.006423572852868261,0.006697749742929712
IL4R,2.5209374,-10.002334,0.011704264901870116,0.012166743454223646
NR3C1,1.7033361,-8.895118,0.08850518324587901,0.09117100201834526
ATP6V1H,1.4989358,-8.055344,0.13389028976945652,0.13709724281782673
RDX,1.4989358,-10.873581,0.13389028976945652,0.13709724281782673
ITPR2,1.4308023,-8.764259,0.15248687009794057,0.15567316290595723
TNFRSF12A,1.0901351,-11.728377,0.27565362701498963,0.2805760132116859
DNAJA2,0.9538682,-8.796799,0.3401503459479357,0.34519708698573887
CCND1,0.68133444,-11.70137,0.4956598888209133,0.5000462595184435
IDH2,0.27253377,-8.232518,0.7852116208217601,0.7852116208217601
CD9,-0.34066722,-9.678284,0.7333541144775236,0.735504713053704
PNKD,-0.613201,-10.540624,0.539743439609115,0.5429184010185804
